Table 1.2 Net overseas migration by country of birth, New South Wales, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACC code(c),Country of birth(c),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7207,Tajikistan,0,0,0,0,0,10,10,0,0,10,10,0,0,0,10,10,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7208,Turkmenistan,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7211,Uzbekistan,20,30,20,20,20,30,20,30,20,40,50,40,40,40,40,30,-20,40,90,70,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8101,Bermuda,10,0,0,10,10,0,10,10,0,0,10,10,10,10,0,10,0,0,0,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8102,Canada,680,620,590,700,540,470,560,580,540,420,420,480,380,200,290,130,60,130,480,370,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8103,St Pierre/Mique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8104,USA,1 380,670,1 420,690,-180,1 220,1 740,1 620,1 350,1 140,1 050,1 220,1 140,210,40,880,350,50,1 160,1 080,1 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8201,Argentina,120,40,40,40,0,90,70,70,210,230,220,300,380,530,1 040,1 830,-220,310,3 250,1 180,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8202,Bolivia,0,10,10,20,-10,10,30,10,10,10,0,0,10,10,10,20,10,10,50,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8203,Brazil,620,920,1 140,1 330,930,400,250,450,520,1 320,1 540,3 150,4 120,3 330,2 150,470,-850,1 060,5 090,2 420,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8204,Chile,40,80,160,160,180,140,120,90,110,150,290,510,520,520,550,740,-170,270,1 570,660,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8205,Colombia,110,330,550,790,760,440,300,410,460,410,540,970,1 330,1 290,1 640,1 420,-420,330,6 630,2 120,-1 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8206,Ecuador,20,20,20,30,20,30,30,20,30,40,30,10,50,30,60,50,0,20,400,370,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8207,Falkland Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8208,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8211,Guyana,0,0,0,0,10,10,0,0,10,0,10,10,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8212,Paraguay,0,10,0,0,10,10,0,10,10,0,0,0,10,-10,10,10,0,10,50,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8213,Peru,120,230,320,450,400,270,120,70,150,90,120,120,160,180,160,250,0,110,870,540,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8214,Suriname,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8215,Uruguay,0,30,0,0,-20,0,0,10,-10,30,10,20,60,60,110,60,-50,60,160,50,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8216,Venezuela,40,60,60,130,120,180,150,110,80,120,250,270,160,0,30,90,20,-10,160,100,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8299,S America, nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8301,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8302,Costa Rica,0,10,10,0,0,10,10,0,-20,20,0,10,10,0,10,0,0,10,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8303,El Salvador,10,10,10,10,20,40,10,20,10,10,10,0,10,10,0,40,10,0,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8304,Guatemala,0,0,10,20,0,0,10,20,0,20,10,0,10,10,20,10,0,20,40,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8305,Honduras,0,10,0,0,0,0,0,0,10,10,10,-10,10,0,10,10,0,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8306,Mexico,50,60,80,130,20,100,100,190,70,120,140,180,180,180,240,80,-40,90,420,250,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8307,Nicaragua,-10,0,0,0,10,0,0,0,10,10,-10,0,10,10,10,10,10,0,-10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8308,Panama,10,10,-10,10,-10,10,10,0,0,10,0,0,10,0,10,20,0,10,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8401,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8402,Antigua/Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8403,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8404,Bahamas,0,0,0,-10,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8405,Barbados,0,10,0,0,0,0,0,10,10,0,0,10,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8406,Cayman Islands,0,0,0,0,10,10,0,10,0,0,10,10,0,0,0,10,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8407,Cuba,10,0,0,10,10,20,0,10,20,0,10,0,10,0,10,10,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8408,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8411,Dominican Rep,0,0,10,10,0,10,0,0,-10,10,10,-10,0,10,10,0,10,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8412,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8413,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8414,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8415,Jamaica,10,0,10,0,10,0,0,0,0,10,10,10,10,0,-10,0,0,0,10,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8416,Martinique,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8417,Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8421,Puerto Rico,0,0,0,10,-20,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8422,St Kitts/Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8423,St Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8424,St Vinc/Grenad,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8425,Trinidad/Tobago,10,10,0,10,-10,10,10,20,0,10,10,10,0,0,0,10,0,0,-10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8426,Turks/Caicos Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8427,Virgin Is, Brit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8428,Virgin Is, US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8431,St Barthelemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8432,St Martin (Fr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8433,Bonaire/SE/Saba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8434,Curacao,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8435,Sint Maarten Dp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9101,Benin,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9102,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9103,Cameroon,0,10,10,20,10,10,20,10,10,0,20,10,10,10,10,0,0,20,20,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9104,Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9105,Cent Africa Rep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9106,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9107,Congo, Rep,70,50,40,10,50,40,10,40,10,0,10,10,10,10,10,0,10,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9108,Congo, Dem Rep,10,40,150,150,130,200,130,60,60,120,100,120,80,130,360,160,20,50,40,310,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9111,Cote d'Ivoire,30,30,30,10,20,10,10,10,0,10,10,0,10,10,0,0,0,0,0,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9112,Equator Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9113,Gabon,0,0,0,0,0,0,0,0,0,0,10,0,10,-10,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9114,Gambia,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9115,Ghana,70,110,120,110,100,140,110,110,150,120,110,140,180,120,150,70,-20,140,230,250,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9116,Guinea,60,50,50,40,20,50,30,30,20,30,10,10,30,10,10,10,0,20,0,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9117,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9118,Liberia,250,190,180,50,70,40,30,40,20,10,30,0,20,10,0,-10,10,20,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9121,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9122,Mauritania,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9123,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9124,Nigeria,60,70,100,80,150,160,150,130,230,280,350,450,630,420,400,280,60,600,750,630,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9125,Sao Tome/Princ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9126,Senegal,10,0,20,10,0,0,10,0,10,10,0,0,10,10,0,0,0,0,10,-10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9127,Sierra Leone,250,330,320,160,140,240,90,70,50,40,10,10,50,40,20,10,10,50,40,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9128,Togo,0,0,10,30,20,40,20,10,10,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9201,Angola,0,0,10,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0,10,-10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9202,Botswana,40,-30,-10,20,-10,0,10,10,0,10,0,0,20,20,20,10,10,10,40,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9203,Burundi,60,80,170,60,50,60,20,30,10,10,30,10,20,30,60,10,0,20,20,80,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9204,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9205,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9206,Eritrea,20,20,20,10,30,20,30,60,10,40,20,30,30,30,20,30,10,20,20,20,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9207,Ethiopia,70,70,90,80,140,190,90,90,50,90,80,60,100,70,80,80,50,60,90,180,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9208,Kenya,150,170,200,180,200,170,130,90,100,150,190,200,400,330,300,180,30,480,860,1 050,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9211,Lesotho,0,0,0,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9212,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9213,Malawi,10,10,20,10,10,10,20,20,10,0,0,20,20,0,40,10,0,10,10,80,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9214,Mauritius,70,110,190,420,410,20,-10,10,60,20,40,40,70,40,40,70,-30,70,90,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9215,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9216,Mozambique,10,0,0,10,10,-10,10,0,10,0,0,0,10,0,10,0,-10,0,20,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9217,Namibia,10,0,10,20,20,10,20,10,10,0,10,10,20,10,20,20,10,20,30,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9218,Reunion,0,0,10,10,10,0,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9221,Rwanda,10,10,30,10,10,50,30,30,20,20,10,10,20,10,10,10,0,10,20,50,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9222,St Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9223,Seychelles,10,-10,0,0,0,0,0,10,0,10,0,0,0,0,10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9224,Somalia,60,70,80,40,110,80,40,30,60,50,50,50,20,30,10,10,40,10,20,20,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9225,South Africa,1 250,1 280,1 530,2 230,2 530,1 210,1 320,1 190,990,920,850,1 230,1 830,1 380,1 460,1 870,1 450,1 230,2 180,2 020,1 240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9226,Eswatini,0,0,0,0,0,10,10,0,0,-10,0,0,0,10,10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9227,Tanzania,50,70,120,100,70,60,20,20,30,30,20,30,30,30,30,10,10,0,30,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9228,Uganda,70,40,50,50,50,30,60,10,50,50,20,20,60,30,60,50,10,40,40,50,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9231,Zambia,40,50,40,60,20,30,60,40,30,30,20,0,20,10,30,30,20,20,70,120,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9232,Zimbabwe,650,620,540,620,490,230,200,240,230,210,170,270,300,210,270,230,130,270,610,620,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9299,S & E Afr, nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000,Inadequately Described,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Australian-born,-7 430,-6 170,-5 910,-6 760,-2 120,-2 140,-3 440,-3 740,-3 930,-6 630,-7 240,-7 100,-5 460,-6 520,-4 550,5 620,8 270,-5 260,-10 160,-7 300,-5 700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total overseas-born,54 870,59 780,79 480,94 150,88 860,59 290,55 120,60 970,70 700,73 620,77 550,87 110,110 960,97 170,89 090,52 270,-15 590,75 980,188 190,140 420,97 270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,47 440,53 610,73 570,87 390,86 740,57 150,51 680,57 230,66 760,66 990,70 310,80 010,105 500,90 650,84 540,57 890,-7 330,70 720,178 040,133 120,91 570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
